TimeInterval,MSD_mean,Alpha_t
60,904306.2395557532,1.2668403753838406
120,2717712.575397628,1.6238212825288478
180,5532943.089023319,1.9969773214119328
240,9068668.053686686,1.9353706947508655
300,13617629.772022434,1.8930467285561505
360,19702798.625987653,2.0503869946894824
420,27754786.93184194,2.110618502159568
480,36820904.1211002,2.0113050589911268
540,45911563.501779266,1.7941210745640177
600,54708378.98357687,1.5586864738632755
660,62828841.86391806,1.3643767414959456
720,70348645.08767916,1.2065814100402577
780,76972512.4602701,1.0888357802449349
840,83134965.56753772,1.0104988121406393
900,88930399.87120299,0.9639104855790492
960,94690509.27943923,0.92186410515788
1020,100002976.93076304,0.8742118856843035
1080,105087603.28839041,0.8511502285186623
1140,109600776.96882531,0.8460039108680064
1200,114644155.97425313,0.8550797787319482
1260,119957203.20263983,0.869884229397428
1320,124381480.16041143,0.8436343193652363
1380,129374281.369846,0.7784157157525158
1440,133447211.58185072,0.6896429819184107
1500,136961856.34785447,0.5655607654433084
1560,139855723.4599963,0.4554825093094621
1620,141653614.64294398,0.41694674872945825
1680,143813955.92531985,0.4256244785526633
1740,146010472.7655813,0.43789458560280536
1800,148729364.04498437,0.39388630081441534
1860,150299756.34411946,0.33628209758859384
1920,151505637.70231253,0.2905972729486166
1980,152444809.51286516,0.24593282580559617
2040,154490006.6442584,0.22619855356401786
2100,154804131.53200403,0.16339171285056864
2160,155262846.7208648,0.057229964123393984
2220,155794334.32427984,0.016148910704657737
2280,155209046.76801935,0.018324785727998005
